20:24:27:019 [ALWAYS]	GUDE Logging Started
20:24:27:019 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:24:27:019 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:24:27:019 [ERROR]	Initialize resume cache pointer failure
20:24:27:019 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:24:27:019 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:24:28:394 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:24:28:395 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:24:28:395 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:24:28:395 [ERROR]	Initialize resume cache pointer failure
20:24:28:395 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:24:28:395 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
